userId,recStrength,questionId
87,0.396,37
87,0.368,266
87,0.359,449
87,0.351,64
87,0.314,454
87,0.298,301
87,0.298,201
87,0.29,242
87,0.29,2
87,0.277,254
87,0.267,374
87,0.262,7
87,0.255,372
87,0.25,261
87,0.25,142
87,0.248,39
87,0.247,1046
87,0.247,1053
87,0.247,1498
87,0.247,774
87,0.247,991
87,0.247,1131
87,0.247,920
87,0.247,1300
87,0.247,1197
87,0.247,661
87,0.247,665
87,0.235,69
87,0.235,354
87,0.233,44
87,0.233,90
87,0.231,145
87,0.228,376
87,0.228,78
87,0.226,53
87,0.226,55
87,0.224,178
87,0.223,12
87,0.216,460
87,0.216,124
87,0.213,462
87,0.213,466
87,0.21,26
87,0.21,291
87,0.209,204
87,0.208,157
87,0.208,208
87,0.205,95
87,0.205,424
87,0.204,123
87,0.203,482
87,0.203,1136
87,0.202,265
87,0.202,687
87,0.199,58
87,0.198,417
87,0.198,422
87,0.197,42
87,0.196,1203
87,0.196,568
87,0.196,1189
87,0.196,1107
87,0.196,586
87,0.196,1198
87,0.196,1080
87,0.196,1157
87,0.196,684
87,0.196,556
87,0.196,1247
87,0.196,503
87,0.196,1267
87,0.196,1275
87,0.196,1276
87,0.196,1293
87,0.196,486
87,0.196,1412
87,0.196,1482
87,0.196,1463
87,0.196,1213
87,0.196,1037
87,0.196,1085
87,0.196,844
87,0.196,695
87,0.196,671
87,0.196,823
87,0.196,819
87,0.196,989
87,0.196,747
87,0.196,758
87,0.196,814
87,0.196,1031
87,0.196,1026
87,0.196,999
87,0.196,626
87,0.196,1103
87,0.195,110
87,0.193,604
87,0.193,584
87,0.193,1263
87,0.19,11
87,0.19,287
87,0.189,528
87,0.189,228
87,0.184,73
87,0.184,311
87,0.183,412
87,0.182,910
87,0.182,1035
87,0.18,106
87,0.18,309
87,0.18,818
87,0.179,463
87,0.178,159
87,0.175,339
87,0.175,1353
87,0.175,1195
87,0.174,430
87,0.174,22
87,0.173,289
87,0.172,1485
87,0.172,1404
87,0.172,670
87,0.172,255
87,0.17,54
87,0.169,643
87,0.169,812
87,0.169,1000
87,0.168,161
87,0.167,578
87,0.165,993
87,0.165,569
87,0.164,383
87,0.164,184
87,0.164,1062
87,0.164,432
87,0.162,341
87,0.162,9
87,0.162,15
87,0.16,1455
87,0.16,1225
87,0.16,509
87,0.16,62
87,0.16,272
87,0.159,197
87,0.157,605
87,0.156,46
87,0.156,1470
87,0.156,135
87,0.155,1187
87,0.155,925
87,0.154,221
87,0.154,896
87,0.153,491
87,0.153,496
87,0.153,351
87,0.152,57
87,0.152,817
87,0.152,224
87,0.152,494
87,0.151,387
87,0.151,101
87,0.151,49
87,0.151,156
87,0.151,28
87,0.15,68
87,0.149,1493
87,0.148,1319
87,0.148,1337
87,0.148,619
87,0.147,610
87,0.146,179
87,0.146,979
87,0.146,295
87,0.146,258
87,0.145,750
87,0.145,875
87,0.144,113
87,0.143,516
87,0.143,1208
87,0.143,582
87,0.141,382
87,0.141,337
87,0.14,614
87,0.14,675
87,0.139,1405
87,0.139,428
87,0.139,1465
87,0.139,629
87,0.139,768
87,0.139,403
87,0.139,365
87,0.138,89
87,0.138,141
87,0.136,1298
87,0.134,468
87,0.134,363
87,0.134,27
87,0.134,621
87,0.134,1248
87,0.134,525
87,0.134,1135
87,0.134,453
87,0.134,381
87,0.133,1292
87,0.133,810
87,0.133,517
87,0.132,207
87,0.132,493
87,0.131,115
87,0.131,898
87,0.131,1040
87,0.131,613
87,0.131,1074
87,0.131,245
87,0.13,334
87,0.13,393
87,0.13,1151
87,0.13,457
87,0.129,1097
87,0.129,192
87,0.129,322
87,0.129,315
87,0.129,479
87,0.128,872
87,0.128,1071
87,0.127,947
87,0.127,1244
87,0.127,71
87,0.126,219
87,0.126,304
87,0.125,1483
87,0.125,1444
87,0.125,978
87,0.123,1212
87,0.123,1194
87,0.123,303
87,0.123,461
87,0.122,1041
87,0.122,1036
87,0.122,1486
87,0.121,440
87,0.121,1112
87,0.121,386
87,0.12,394
87,0.12,325
87,0.12,163
87,0.119,481
87,0.119,811
87,0.118,48
87,0.118,662
87,0.118,404
87,0.118,478
87,0.117,217
87,0.116,119
87,0.116,459
87,0.116,335
87,0.115,1015
87,0.115,1217
87,0.115,14
87,0.115,76
87,0.115,1011
87,0.115,1282
87,0.115,324
87,0.115,1069
87,0.115,660
87,0.115,1003
87,0.115,635
87,0.114,1219
87,0.114,638
87,0.114,804
87,0.114,601
87,0.114,1146
87,0.114,388
87,0.113,122
87,0.113,17
87,0.113,136
87,0.112,63
87,0.112,808
87,0.112,484
87,0.112,252
87,0.112,340
87,0.111,477
87,0.111,1179
87,0.111,1229
87,0.111,1027
87,0.11,253
87,0.11,188
87,0.109,86
87,0.109,174
87,0.109,739
87,0.109,213
87,0.108,114
87,0.108,235
87,0.106,168
87,0.106,748
87,0.106,50
87,0.105,1241
87,0.105,851
87,0.105,1269
87,0.105,1126
87,0.104,1492
87,0.104,361
87,0.104,70
87,0.104,72
87,0.104,362
87,0.103,863
87,0.103,945
87,0.102,216
87,0.102,894
87,0.102,175
87,0.102,606
87,0.102,310
87,0.102,98
87,0.101,1221
87,0.101,929
87,0.101,167
87,0.101,831
87,0.101,79
87,0.101,986
87,0.1,200
87,0.1,511
87,0.1,1397
87,0.1,1104
87,0.1,1390
87,0.1,407
87,0.1,1321
87,0.1,126
87,0.099,498
87,0.099,841
87,0.099,669
87,0.099,908
87,0.099,645
87,0.099,633
87,0.099,1045
87,0.099,1047
87,0.098,25
87,0.098,102
87,0.098,469
87,0.098,250
87,0.097,445
87,0.097,60
87,0.097,1184
87,0.097,966
87,0.097,129
87,0.096,279
87,0.096,583
87,0.096,281
87,0.096,533
87,0.095,1421
87,0.094,400
87,0.094,1068
87,0.094,328
87,0.094,402
87,0.093,307
87,0.093,600
87,0.093,211
87,0.093,56
87,0.093,1250
87,0.092,1081
87,0.092,1330
87,0.092,725
87,0.092,1148
87,0.092,436
87,0.092,1473
87,0.091,24
87,0.091,134
87,0.091,927
87,0.091,51
87,0.091,499
87,0.091,1058
87,0.091,290
87,0.09,414
87,0.09,182
87,0.09,100
87,0.089,930
87,0.089,842
87,0.089,390
87,0.089,395
87,0.089,905
87,0.088,591
87,0.088,212
87,0.088,965
87,0.088,923
87,0.087,401
87,0.087,181
87,0.087,332
87,0.087,1211
87,0.086,488
87,0.086,692
87,0.086,19
87,0.086,793
87,0.086,1447
87,0.085,1253
87,0.085,968
87,0.085,13
87,0.085,306
87,0.085,1261
87,0.085,419
87,0.085,1188
87,0.085,1262
87,0.085,540
87,0.085,97
87,0.085,1301
87,0.085,544
87,0.084,1088
87,0.084,1234
87,0.084,636
87,0.084,928
87,0.084,1090
87,0.084,385
87,0.084,137
87,0.084,302
87,0.084,895
87,0.083,522
87,0.083,935
